Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh(EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 28 2016  3:01AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:02AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:03AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:04AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:05AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:06AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:07AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:08AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:09AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:10AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:11AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:12AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:13AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:14AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:15AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:16AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:17AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:18AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:19AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:20AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:21AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:22AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:23AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:24AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:25AM,11.842,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:26AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:27AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:28AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:29AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:30AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:31AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:32AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:33AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:34AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:35AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:36AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:37AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:38AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:39AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:40AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:41AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:42AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:43AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:44AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:45AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:46AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:47AM,11.842,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:48AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:49AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:50AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:51AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:52AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:53AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:54AM,11.842,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
